Days of airfrost,Precipitation,Sunshine hours,Humidity (%),Wind Speed,Aircraft total movements,Weather and flight condition category,Runway surface minimal temperature,Runway surface maximal temperature
24,59.9,58.5,79.3,5.1,1347,3,-2.6,3.8
0,66.7,158.3,61.0,3.5,1306,1,11.5,20.0
0,39.5,194.6,57.9,3.2,1284,0,8.6,16.8
0,34.0,192.8,60.2,2.6,1270,1,12.2,22.4
8,17.7,50.3,79.7,2.9,1319,3,2.3,9.5
0,55.1,56.0,66.0,4.0,1237,3,4.9,10.3
0,79.8,112.0,56.9,3.9,1218,0,8.4,16.1
13,50.1,34.5,73.2,4.3,1231,3,2.0,6.5
0,35.2,229.1,59.6,2.6,1253,1,14.5,24.3
9,17.8,37.4,82.1,3.4,1282,3,0.4,5.8
0,34.7,85.4,65.0,3.2,1202,2,8.2,14.8
4,57.0,78.5,60.0,4.1,1230,2,3.4,9.6
4,47.4,48.0,69.3,3.9,1338,3,4.2,9.5
0,50.0,246.4,58.3,3.0,1376,1,15.0,25.8
9,58.0,129.7,56.7,4.0,1410,0,2.2,10.5
2,25.4,96.7,56.1,2.8,1422,0,5.7,13.9
3,72.9,55.5,62.9,4.2,1321,2,6.2,11.4
5,59.3,59.2,60.8,4.0,1286,2,4.2,10.6
0,18.5,87.1,59.8,2.5,1323,2,7.6,14.6
12,84.6,60.3,72.2,4.8,1189,3,1.3,7.0
10,95.8,58.0,67.0,4.7,1297,3,2.6,9.0
0,8.4,206.7,64.4,0.9,1399,2,10.8,21.9
4,89.5,69.4,64.3,4.4,1317,2,4.5,11.2
2,22.8,180.9,58.3,2.7,1270,0,5.0,14.3
4,55.1,58.1,70.7,3.9,1324,3,4.0,10.8
2,48.2,27.7,67.1,3.6,1275,2,8.0,13.4
10,58.7,45.7,76.3,4.2,1271,3,1.9,8.9
0,142.2,51.6,59.1,4.5,1280,2,8.8,15.1
2,29.6,55.0,61.7,3.2,1229,2,5.3,11.2
1,92.4,60.2,56.4,4.4,1258,0,5.2,11.5
0,43.8,103.9,55.8,3.7,1223,0,4.4,11.9
1,38.2,47.8,71.9,3.6,1252,3,4.4,10.0
0,89.6,158.4,57.6,3.8,1297,1,12.0,19.9
13,29.8,78.3,68.6,3.8,1350,3,0.1,6.3
0,39.4,35.0,66.1,3.4,1301,3,8.9,13.7
5,62.2,102.5,68.1,4.1,1261,3,3.8,10.4
0,84.6,182.1,59.0,3.6,1362,1,12.8,21.5
11,29.1,40.3,68.1,3.7,1340,3,1.5,7.6
7,19.7,62.4,67.2,3.3,1282,3,2.5,7.3
0,67.2,201.7,58.9,3.6,1328,1,10.6,20.1
0,68.7,124.9,59.3,3.7,1361,2,8.8,16.4
0,140.0,156.0,61.9,4.4,1348,2,9.5,17.5
1,18.8,129.1,60.7,2.4,1285,2,7.5,16.2
2,41.7,114.0,64.5,3.3,1345,2,7.6,15.1
0,75.2,103.1,59.7,3.6,1235,1,13.1,20.8
2,73.4,51.4,56.7,4.4,1305,0,2.5,8.9
13,82.8,44.7,76.3,5.0,1279,3,1.0,5.8
1,57.1,129.7,56.9,3.7,1245,0,5.6,14.0
0,50.0,162.3,60.4,3.2,1327,2,10.2,18.6
0,64.4,104.3,58.4,3.4,1203,1,14.2,21.5
2,85.1,29.6,76.4,4.7,1442,3,2.7,8.0
0,50.3,247.8,57.7,2.9,1277,1,16.0,27.6
0,51.7,88.5,61.9,3.4,1248,2,10.1,17.6
10,32.9,71.6,72.6,3.8,1263,3,1.3,7.4
0,35.0,174.6,58.2,2.8,1231,1,12.6,21.6
1,51.1,84.9,56.5,3.8,1272,0,5.7,12.1
0,29.2,229.3,60.1,2.6,1384,1,10.5,21.7
12,47.9,34.4,72.4,4.2,1316,3,1.8,6.9
0,55.9,184.7,57.9,3.3,1362,1,11.9,20.8
0,50.5,222.9,56.1,3.4,1339,0,7.5,17.0
2,119.3,33.6,72.7,4.8,1232,3,4.2,9.4
0,27.8,147.8,60.5,2.7,1364,2,10.8,18.8
0,31.2,79.0,60.8,3.4,1182,2,5.9,11.3
0,110.1,164.1,60.0,4.1,1287,1,11.2,19.3
15,60.2,64.5,66.7,4.4,1302,3,0.7,7.6
2,43.4,35.0,69.5,4.0,1319,3,2.6,7.9
0,21.6,105.6,63.9,2.6,1327,2,8.7,15.9
0,49.1,173.7,56.8,3.1,1239,1,12.7,21.4
1,29.2,126.2,63.0,3.1,1275,2,5.3,13.7
1,27.7,145.8,56.9,3.0,1293,0,5.1,13.5
1,50.0,80.4,62.3,3.9,1289,2,4.7,10.4
4,72.1,83.2,56.5,4.4,1330,0,2.4,9.0
0,64.2,78.5,61.2,3.6,1295,2,10.7,16.5
0,40.9,189.1,57.3,2.9,1321,1,13.8,23.7
3,49.6,78.4,70.9,3.8,1374,3,4.0,11.3
0,39.5,132.5,58.3,3.1,1363,1,10.8,19.5
0,89.8,91.7,67.0,4.5,1190,3,4.4,10.6
8,50.6,71.4,66.5,4.1,1407,3,2.5,8.4
0,46.4,204.3,58.2,3.0,1305,1,13.9,24.0
0,54.6,180.5,59.4,3.2,1278,1,13.3,22.6
7,68.2,95.9,56.8,4.1,1203,0,3.0,10.7
0,23.8,219.4,59.3,2.4,1402,1,11.7,21.6
12,29.0,92.0,74.0,3.8,1306,3,0.6,6.7
0,19.2,169.5,60.8,2.4,1296,1,12.8,21.0
0,62.9,149.8,56.7,3.7,1371,0,6.9,15.1
4,36.8,52.2,80.9,3.6,1201,3,2.9,9.9
0,80.6,158.3,56.8,3.9,1297,0,8.2,16.0
0,49.7,122.5,67.7,3.4,1342,2,9.6,16.9
0,38.5,61.8,58.4,3.6,1287,0,4.9,11.8
0,155.5,75.2,66.0,4.7,1341,2,8.2,14.2
0,68.6,126.3,56.4,3.8,1318,0,7.2,15.0
3,73.8,52.4,71.6,4.4,1403,3,3.6,9.2
0,59.4,167.9,60.0,3.2,1304,2,14.7,24.4
5,41.5,25.3,71.1,4.1,1272,3,3.1,7.2
0,16.9,267.1,58.5,1.9,1253,1,15.2,26.2
0,39.6,167.6,59.5,2.7,1276,1,14.1,23.9
7,2.4,54.8,72.5,1.2,1258,3,1.2,7.4
2,55.5,37.1,73.6,4.1,1382,3,4.1,9.2
1,37.6,114.4,63.0,3.2,1248,2,7.1,15.7
1,128.4,51.1,65.4,4.6,1398,2,6.9,12.5
0,64.7,125.4,63.0,3.4,1359,2,12.0,20.9
0,127.7,145.4,59.1,4.3,1305,1,10.1,17.8
0,5.1,117.3,61.8,0.6,1329,2,9.9,18.2
2,63.4,140.3,57.4,3.8,1249,0,5.2,13.7
0,10.4,100.9,59.8,1.6,1358,2,8.1,15.7
0,25.4,166.6,57.3,2.5,1284,0,9.7,18.2
0,36.3,217.3,59.7,2.8,1352,1,14.1,24.1
0,55.7,267.1,59.1,3.1,1263,1,13.1,24.2
0,73.5,239.5,59.0,3.4,1269,1,13.8,23.5
2,92.3,38.0,80.8,4.5,1302,3,4.5,10.3
0,30.0,234.4,56.2,2.8,1309,0,8.2,19.0
0,21.9,221.4,57.2,2.4,1371,0,8.0,18.7
0,22.4,196.4,56.7,2.6,1223,0,7.5,17.0
0,47.6,245.5,61.2,3.0,1255,1,13.3,23.3
0,47.2,170.0,57.7,3.6,1273,0,4.9,13.5
0,1.6,98.4,66.1,0.2,1299,2,8.4,17.1
0,49.8,173.6,58.4,3.2,1258,1,12.6,21.7
0,79.4,146.7,58.3,3.6,1277,1,12.6,20.7
4,63.1,37.8,70.3,4.1,1394,3,3.5,10.3
3,44.3,40.7,70.5,3.8,1403,2,4.8,9.5
4,62.2,52.7,61.3,4.0,1287,2,6.0,11.2
0,43.9,224.2,59.0,3.0,1339,1,12.2,21.8
0,20.0,178.2,66.3,2.2,1340,2,11.5,20.3
0,84.6,178.8,56.5,3.8,1309,0,9.8,18.0
7,21.1,90.1,69.8,3.1,1349,3,2.8,8.8
10,64.3,40.1,63.0,4.5,1340,3,0.9,6.8
1,45.0,134.4,63.8,3.4,1252,2,6.8,15.0
5,33.7,93.4,56.4,3.4,1213,0,3.0,10.8
0,28.8,213.9,57.1,2.3,1333,1,14.7,24.2
0,75.3,126.9,57.2,3.9,1350,0,6.8,14.6
0,39.9,153.0,56.8,3.2,1268,0,6.7,15.8
11,52.8,62.3,58.6,4.3,1306,0,1.2,6.9
0,41.8,142.7,56.2,3.5,1359,0,4.7,12.7
3,16.9,199.5,56.4,2.4,1330,0,6.1,15.0
3,95.3,78.2,58.1,4.6,1407,0,3.8,9.5
8,76.8,35.6,73.6,4.6,1279,3,2.8,7.4
0,95.0,142.4,61.6,3.9,1417,2,10.7,19.2
3,10.2,67.8,70.8,2.3,1350,2,4.5,11.4
5,73.9,50.0,67.6,4.4,1290,3,4.6,9.0
11,51.6,56.4,68.1,4.2,1311,3,1.7,7.9
5,81.7,60.1,58.7,4.4,1287,2,3.5,9.9
0,37.8,98.4,64.5,3.2,1332,2,8.5,15.4
0,122.1,81.3,61.5,4.4,1334,2,8.6,14.7
5,71.7,32.4,72.9,4.4,1268,3,3.4,8.9
0,11.2,143.4,63.2,1.7,1323,2,11.4,20.6
11,105.6,62.8,84.9,5.0,1288,3,1.0,7.2
0,22.4,284.5,59.7,2.3,1284,1,10.7,23.6
1,32.4,129.9,59.6,3.3,1420,0,4.9,12.9
0,69.9,132.9,57.7,3.6,1264,1,10.6,18.6
0,53.0,181.3,58.0,3.2,1358,1,12.3,21.3
0,37.6,140.3,58.2,3.0,1235,1,11.1,19.0
0,23.2,293.7,63.5,2.3,1278,1,10.4,21.8
0,62.3,158.6,57.1,3.4,1198,1,14.2,22.5
0,18.4,140.4,60.4,2.4,1310,2,10.1,18.1
7,32.2,50.0,66.3,3.6,1233,2,4.0,9.1
0,65.8,151.1,57.1,3.8,1254,0,5.9,14.6
1,61.0,137.0,65.2,3.6,1199,2,8.5,16.5
0,84.0,173.5,59.2,3.7,1252,1,11.0,20.7
4,59.5,88.1,57.0,4.1,1296,0,3.7,10.7
0,86.3,109.7,62.4,3.9,1298,2,10.8,17.8
0,27.7,146.6,64.5,2.6,1288,2,12.0,20.1
1,52.8,175.0,56.5,3.7,1281,0,5.1,13.3
0,88.2,159.6,58.2,3.7,1288,1,13.3,22.5
0,66.4,192.2,57.7,3.6,1302,0,9.4,17.3
0,54.4,164.2,56.0,3.3,1305,0,10.6,19.6
0,88.6,110.9,59.1,3.7,1199,1,13.2,21.6
5,48.2,58.1,63.2,3.8,1255,2,3.5,10.8
0,36.1,237.0,60.9,2.7,1242,1,11.3,21.3
0,88.4,152.0,62.6,3.9,1275,2,9.6,17.8
8,71.9,64.0,71.0,4.4,1320,3,3.1,8.8
10,20.8,101.2,78.1,3.1,1302,3,1.8,8.4
0,35.5,258.5,58.9,2.6,1298,1,11.4,22.1
0,38.6,98.9,60.8,3.4,1374,2,6.1,13.9
0,77.3,176.1,59.3,3.6,1334,1,13.2,21.8
2,58.1,140.5,56.8,3.8,1298,0,3.9,12.5
0,12.4,205.7,61.5,1.5,1191,1,11.1,22.0
0,57.2,172.3,62.7,3.2,1260,1,12.5,21.8
0,70.1,273.3,58.2,3.4,1196,1,12.7,23.6
7,52.5,55.6,61.9,4.0,1403,2,3.5,9.9
1,44.1,138.2,57.9,3.6,1321,0,4.4,12.5
2,2.4,51.0,76.5,1.0,1294,3,2.5,7.2
0,64.4,106.3,67.3,3.5,1267,2,11.2,17.8
0,29.6,157.9,58.3,3.0,1255,0,7.1,15.0
0,58.9,187.3,60.6,3.4,1331,1,11.9,20.3
6,70.5,42.5,65.1,4.5,1303,3,2.8,7.8
0,7.6,221.1,61.2,1.3,1304,1,15.5,27.2
